amfi_code,Alpha,Beta
100016,0.035,0.0048
100025,0.0433,-0.0034
100033,0.2688,0.0241
101206,0.2147,-0.0001
101207,0.1102,-0.0236
101208,0.0609,0.0001
102885,0.1709,-0.0076
102886,0.0319,-0.0307
102887,0.1611,0.0112
118632,0.2158,0.0162
118633,0.1576,-0.0161
118634,0.1757,0.018
118635,0.1507,0.0048
118636,0.0511,-0.002
119092,0.067,0.0164
119093,0.0809,0.0158
119094,0.2627,-0.0287
119095,0.0488,-0.0201
119120,0.0561,-0.0004
119551,0.2345,-0.0252
119552,0.2005,-0.0186
119598,0.3031,-0.0035
119599,0.0493,0.0101
120503,0.1755,0.0018
120504,0.2161,-0.0261
120505,0.2951,-0.0175
120506,0.16,0.0273
120507,0.0675,-0.0005
120841,0.1327,-0.0083
120842,0.0805,-0.0135
120843,0.2732,-0.0044
120844,0.0646,-0.0004
125497,0.1776,0.0084
125498,0.1176,0.0181
148567,0.2691,0.0105
148568,0.2084,-0.0036
148569,0.2808,0.0176
149322,0.1331,-0.0105
149323,0.2657,0.0013
149324,0.2958,0.0367
